feature,importance_mean,importance_std
total_visits_in_previous_year,0.10789413344688656,0.0019051736607074376
discharge_disposition_id,0.02663696812866454,0.0006825937934874252
comorbidity_index,0.013698450653477013,0.0006874492750785043
num_medications,0.013033509122473697,0.0004653621313551892
time_in_hospital,0.011340037341544096,0.0007703242074019532
age,0.009076615676897392,0.00042788576875255687
change,0.006393920534573683,0.00043227650263875656
race,0.004438402830095977,0.00022741072367533303
payer_code,0.0042680729797897055,0.0003799665891447634
gender,0.0034884863572341106,0.0003747634638530792
